,name,author,rating,year,genre
147,Killing Reagan: The Violent Assault That Changed a Presidency (Bill O'Reilly's Killing Series),Bill O'Reilly,4.6,2015,Non Fiction
148,Killing the Rising Sun: How America Vanquished World War II Japan (Bill O'Reilly's Killing Series),Bill O'Reilly,4.8,2016,Non Fiction
149,Kitchen Confidential Updated Edition: Adventures in the Culinary Underbelly (P.S.),Anthony Bourdain,4.8,2018,Non Fiction
150,Knock-Knock Jokes for Kids,Rob Elliott,4.5,2013,Childrens
151,"Last Week Tonight with John Oliver Presents A Day in the Life of Marlon Bundo (Better Bundo Book, LGBT Childrens Book)",Jill Twiss,4.9,2018,Fiction
152,Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,2013,Childrens
153,"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,4.5,2013,Non Fiction
154,Leonardo da Vinci,Walter Isaacson,4.5,2017,Non Fiction
155,Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering,Paper Peony Press,4.4,2018,Non Fiction
156,Liberty and Tyranny: A Conservative Manifesto,Mark R. Levin,4.8,2009,Non Fiction
157,Life,Keith Richards,4.5,2010,Non Fiction
158,Little Bee: A Novel,Chris Cleave,4.1,2010,Fiction
159,Little Blue Truck,Alice Schertle,4.9,2014,Fiction
160,Little Fires Everywhere,Celeste Ng,4.5,2018,Fiction
161,Looking for Alaska,John Green,4.5,2014,Fiction
162,"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",Rob Bell,4.2,2011,Non Fiction
163,Love You Forever,Robert Munsch,4.8,2014,Childrens
164,Magnolia Table: A Collection of Recipes for Gathering,Joanna Gaines,4.8,2018,Non Fiction
165,Make It Ahead: A Barefoot Contessa Cookbook,Ina Garten,4.5,2014,Non Fiction
166,Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,Admiral William H. McRaven,4.7,2017,Non Fiction
167,"Mastering the Art of French Cooking, Vol. 2",Julia Child,4.8,2009,Non Fiction
168,Milk and Honey,Rupi Kaur,4.7,2016,Non Fiction
169,Milk and Vine: Inspirational Quotes From Classic Vines,Adam Gasiewski,4.4,2017,Non Fiction
170,Mindset: The New Psychology of Success,Carol S. Dweck,4.6,2014,Non Fiction
171,Mockingjay (The Hunger Games),Suzanne Collins,4.5,2010,Fiction
172,"National Geographic Kids Why?: Over 1,111 Answers to Everything",Crispin Boyer,4.8,2019,Childrens
173,National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books),Amy Shields,4.8,2019,Childrens
174,New Moon (The Twilight Saga),Stephenie Meyer,4.6,2009,Fiction
175,Night (Night),Elie Wiesel,4.7,2016,Non Fiction
176,No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden,Mark Owen,4.6,2012,Non Fiction
177,Obama: An Intimate Portrait,Pete Souza,4.9,2017,Non Fiction
178,"Oh, the Places You'll Go!",Dr. Seuss,4.9,2012,Childrens
179,Old School (Diary of a Wimpy Kid #10),Jeff Kinney,4.8,2015,Childrens
180,Olive Kitteridge,Elizabeth Strout,4.2,2009,Fiction
181,One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,4.6,2011,Non Fiction
182,"Option B: Facing Adversity, Building Resilience, and Finding Joy",Sheryl Sandberg,4.5,2017,Non Fiction
183,Origin: A Novel (Robert Langdon),Dan Brown,4.3,2017,Fiction
184,Orphan Train,Christina Baker Kline,4.6,2014,Fiction
185,Outliers: The Story of Success,Malcolm Gladwell,4.6,2009,Non Fiction
186,P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,4.7,2018,Childrens
187,Percy Jackson and the Olympians Paperback Boxed Set (Books 1-3),Rick Riordan,4.8,2010,Childrens
188,Player's Handbook (Dungeons & Dragons),Wizards RPG Team,4.8,2017,Fiction
189,Pokémon Deluxe Essential Handbook: The Need-to-Know Stats and Facts on Over 700 Pokémon,Scholastic,4.7,2016,Fiction
190,Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,4.3,2012,Non Fiction
191,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,2009,Non Fiction
192,Puppy Birthday to You! (Paw Patrol) (Little Golden Book),Golden Books,4.8,2017,Fiction
193,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,4.6,2012,Non Fiction
194,Radical: Taking Back Your Faith from the American Dream,David Platt,4.7,2010,Non Fiction
195,Ready Player One: A Novel,Ernest Cline,4.6,2017,Fiction
